,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
Alabama A & M University,432.0830832859874,129.58597232820728,89.87267767091515,100.0,116.00688823800196,2820.6619937995197,328.67689600913315,324.9543520882148,319.6696042820384,35.19905510000627,243.75411129632326,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.737170876517375,52.76431363110464,100.0,216.74894120643654
University of Alabama at Birmingham,15.175118170328064,50.85158714935522,66.40597074896685,164.1113618457885,78.85515036746983,100.0,6.306401021956605,59.7432377501656,68.96944522997825,65.56130709616053,52.890018117003535,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.07978586924441,47.98126900395197,507.20929919685955,97.97312348647591
University of Alabama in Huntsville,20.250184906715933,37.982719476585615,73.5216764006038,100.0,30.965411088036355,100.0,49.765665828544954,15.664492280674914,66.4603704529812,60.13321491559781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.5486818911997,45.30150445253459,100.0,83.51856005292109
Alabama State University,169.18185243155338,6.220366028383135,98.37095634856219,100.0,35.61042983153275,100.0,284.205241676994,210.1489311393621,423.63484876396,68.12771441048125,100.0,100.0,392.66220190359,100.0,1539.4239374079918,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.14379947515572,100.0,115.58546576613267,100.0,100.0,100.0,79.51660347148452,88.38358539146459,100.0,167.66299793895777
The University of Alabama,33.84071729042478,10.665840413193504,50.96248123234458,42.32313987767157,45.099510415092475,100.0,17.086176987883643,40.34319802515928,8.217182425082042,66.15909524985904,1.5456585329813481,100.0,100.0,100.0,100.0,100.0,100.0,90.86458123681481,100.0,100.0,100.0,100.0,100.0,77.86884171308014,100.0,100.0,100.0,100.0,100.0,24.39523650621746,38.330437708730294,100.0,73.36569055045422
Auburn University Main Campus,100.0,100.0,100.0,100.0,74.05520652467214,100.0,62.24155322743895,59.24898707796162,22.952848305286725,61.472648518547345,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.12410136418458
Concordia College-Selma,100.0,100.0,100.0,100.0,100.0,100.0,280.7103719256339,2913.1477101059754,2011.4384904927867,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,253.29051789138737
Faulkner University,100.0,75.34435528058391,97.59973838008543,100.0,100.0,100.0,84.39187264771579,88.76989470721612,94.3594302529352,46.91344057918888,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.48058537024141
Herzing College,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,643.4116871738809,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,116.98161522418377
Huntingdon College,9.984490023493457,89.21120672351873,23.495843500358074,100.0,100.0,100.0,37.837566648315374,100.0,347.13343635749885,243.79757023819315,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.646881333841606,13.911878538343602,100.0,100.50058979261132
Jacksonville State University,35.34752621889551,42.30422816782813,88.6231891242247,100.0,68.18592156903713,100.0,82.63740967630095,95.83585070585944,40.50413453046214,76.37845560548021,39.22984565042082,100.0,100.0,100.0,100.0,100.0,100.0,75.35876450217381,252.78869551421573,100.0,100.0,281.3120368536631,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.722422572669615,64.12797091248565,100.0,96.82363911261615
University of West Alabama,100.0,91.23245216994663,75.78395058977459,100.0,100.0,100.0,81.33097577276926,100.0,64.83569969124405,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.2869711944917
